account_id,customer_id,branch_id,account_type,account_status,opened_date,current_balance
500107,107040,B004,SAVINGS,ACTIVE,2025-02-17,17070.43
500108,109884,B001,SALARY,CLOSED,2024-08-26,24242.03
500109,104441,B013,SAVINGS,ACTIVE,2022-08-13,25762.94
500110,109357,B020,SAVINGS,ACTIVE,2024-03-05,5046.82
500111,102860,B016,SAVINGS,ACTIVE,2025-05-10,106421.04
500112,105097,B004,SAVINGS,ACTIVE,2025-04-16,15529.26
500113,104847,B001,SALARY,CLOSED,2024-11-01,155821.03
500114,108379,B006,SAVINGS,ACTIVE,2020-03-13,46374.9
500115,102999,B015,SALARY,ACTIVE,2022-04-01,7754.69
500116,102804,B006,SAVINGS,ACTIVE,2022-04-03,10169.91
500117,104860,B008,CURRENT,ACTIVE,2023-01-22,38347.22
500118,107459,B006,SAVINGS,ACTIVE,2024-11-18,9158.67
500119,109188,B015,SAVINGS,ACTIVE,2021-12-24,88690.38
500120,108956,B004,SAVINGS,ACTIVE,2021-08-20,50437.26
500121,100304,B008,SAVINGS,ACTIVE,2022-04-27,326321.21
500122,108332,B001,SAVINGS,ACTIVE,2021-08-03,45985.77
500123,102713,B005,SAVINGS,CLOSED,2020-03-26,9664.06
500124,106329,B019,SALARY,ACTIVE,2022-07-14,60255.91
500125,107534,B003,SAVINGS,ACTIVE,2022-10-05,29968.77
500126,108280,B009,SAVINGS,ACTIVE,2024-08-10,27942.59
500127,102561,B006,SAVINGS,ACTIVE,2023-09-06,46670.62
500128,100071,B003,SAVINGS,ACTIVE,2022-07-01,10616.43
500129,108813,B005,SAVINGS,ACTIVE,2024-08-16,46866.42
500130,103856,B009,CURRENT,ACTIVE,2019-08-20,52372.49
500131,107518,B001,SAVINGS,ACTIVE,2024-10-15,38606.35
500132,107688,B012,SAVINGS,ACTIVE,2022-02-05,3208.36
500133,106446,B009,SAVINGS,ACTIVE,2024-09-18,30073.43
500134,104068,B016,SAVINGS,ACTIVE,2022-10-10,5659.19
500135,101073,B013,SAVINGS,ACTIVE,2020-03-25,6443.36
500136,101869,B011,SAVINGS,ACTIVE,2022-03-11,7847.21
500137,106335,B009,SAVINGS,ACTIVE,2019-08-27,21270.65
500138,107742,B014,SALARY,ACTIVE,2024-03-30,19775.11
500139,104958,B014,SAVINGS,ACTIVE,2020-07-18,145680.36
500140,106105,B004,SAVINGS,ACTIVE,2019-01-20,70480.77
500141,104430,B008,SALARY,ACTIVE,2019-06-29,104599.48
500142,105242,B018,SAVINGS,ACTIVE,2022-02-11,70935.16
500143,109303,B013,SAVINGS,ACTIVE,2022-06-30,7314.71
500144,103389,B018,SAVINGS,ACTIVE,2023-01-27,12141.42
500145,108938,B003,SAVINGS,ACTIVE,2025-11-09,1465.29
500146,100975,B002,SAVINGS,ACTIVE,2024-10-29,26622.81
500147,100225,B015,SAVINGS,ACTIVE,2025-01-30,137322.05
500148,108637,B008,SALARY,CLOSED,2022-02-16,28719.66
500149,105233,B009,SAVINGS,ACTIVE,2026-03-11,7761.05
500150,102007,B017,SAVINGS,ACTIVE,2026-04-07,10950.63
500151,100334,B004,SAVINGS,CLOSED,2023-10-14,45509.61
500152,106345,B006,SAVINGS,ACTIVE,2023-12-23,15806.94
500153,104206,B006,SAVINGS,ACTIVE,2021-09-29,76947.05
500154,102938,B002,SAVINGS,CLOSED,2022-06-02,66135.93
500155,109900,B019,SAVINGS,ACTIVE,2019-07-14,20511.81
500156,102300,B002,CURRENT,ACTIVE,2021-11-01,7833.99
500157,108769,B016,SAVINGS,ACTIVE,2020-07-22,50057.62
500158,104469,B004,SAVINGS,CLOSED,2022-09-29,12974.35
500159,101972,B007,SAVINGS,ACTIVE,2020-05-04,47123.67
500160,107324,B005,CURRENT,ACTIVE,2024-11-21,53287.99
500161,108431,B002,SAVINGS,ACTIVE,2022-07-06,15067.21
500162,102306,B015,SAVINGS,ACTIVE,2026-04-06,156077.19
500163,105750,B003,SAVINGS,ACTIVE,2024-05-17,20121.69
500164,100928,B001,SAVINGS,ACTIVE,2019-10-02,78344.34
500165,106532,B008,SAVINGS,ACTIVE,2019-04-20,65409.13
500166,104851,B012,SAVINGS,ACTIVE,2021-08-15,19645.56
500167,108411,B004,SALARY,ACTIVE,2020-06-03,7426.12
500168,105481,B019,SALARY,ACTIVE,2023-03-23,27901.81
500169,102468,B006,SAVINGS,ACTIVE,2022-08-15,64949.32
500170,106567,B019,SAVINGS,ACTIVE,2022-09-27,21812.85
500171,103785,B005,CURRENT,ACTIVE,2020-05-27,18394.58
500172,104510,B013,SAVINGS,ACTIVE,2021-04-01,44747.55
500173,106073,B003,CURRENT,ACTIVE,2021-03-22,36345.24
500174,103873,B008,SAVINGS,ACTIVE,2021-01-22,11714.42
500175,102239,B017,SAVINGS,ACTIVE,2024-09-05,5531.95
500176,101527,B007,SAVINGS,ACTIVE,2022-11-04,52089.1
500177,109621,B006,SAVINGS,ACTIVE,2024-09-01,11692.72
500178,103003,B011,SAVINGS,ACTIVE,2025-01-05,15884.72
500179,108259,B007,SAVINGS,ACTIVE,2021-07-18,87304.53
500180,102485,B017,SALARY,ACTIVE,2024-08-23,493129.09
500181,107186,B006,CURRENT,ACTIVE,2019-04-05,259379.3
500182,101325,B005,SAVINGS,ACTIVE,2022-01-04,27661.17
500183,102490,B008,SAVINGS,ACTIVE,2021-04-24,139251.51
500184,109549,B004,SAVINGS,ACTIVE,2021-05-24,5786.79
500185,109119,B012,SALARY,ACTIVE,2020-04-05,20369.05
500186,101835,B004,SAVINGS,ACTIVE,2021-06-20,17063.84
500187,104998,B006,SAVINGS,ACTIVE,2021-03-21,14098.46
500188,105721,B010,SAVINGS,ACTIVE,2023-06-01,33657.73
500189,108631,B006,SALARY,ACTIVE,2019-09-04,41357.09
500190,104030,B007,SALARY,ACTIVE,2020-11-16,18164.59
500191,108840,B005,SALARY,ACTIVE,2022-10-14,32687.0
500192,105480,B019,SAVINGS,ACTIVE,2020-08-04,9778.53
500193,102973,B011,SALARY,ACTIVE,2023-09-01,1255.09
500194,105849,B009,SAVINGS,ACTIVE,2019-12-09,31082.8
500195,100835,B005,CURRENT,ACTIVE,2023-11-28,43076.58
500196,105202,B014,SAVINGS,ACTIVE,2023-04-04,74830.81
500197,100789,B011,SAVINGS,ACTIVE,2019-03-04,6561.21
500198,103299,B017,CURRENT,ACTIVE,2023-09-18,5661.36
500199,107076,B001,SAVINGS,ACTIVE,2025-05-30,2689.66
500200,103407,B017,SAVINGS,ACTIVE,2024-07-10,40265.27
500201,109911,B016,SAVINGS,ACTIVE,2019-04-18,11824.65
500202,101705,B004,SALARY,ACTIVE,2019-11-22,13054.88
500203,108942,B011,SAVINGS,ACTIVE,2022-08-11,51621.7
500204,104133,B015,SAVINGS,ACTIVE,2019-04-21,129775.58
500205,106510,B013,SAVINGS,ACTIVE,2023-04-12,15215.75
500206,103621,B013,SAVINGS,ACTIVE,2023-11-04,69124.49
500207,104972,B003,SAVINGS,ACTIVE,2020-03-01,46195.43
500208,109925,B010,SALARY,ACTIVE,2025-03-01,142769.76
500209,101925,B018,SAVINGS,ACTIVE,2026-05-05,40486.93
500210,100934,B017,SAVINGS,ACTIVE,2022-09-19,12807.3
500211,105516,B003,SAVINGS,ACTIVE,2024-08-26,13276.39
500212,105778,B008,SAVINGS,CLOSED,2022-01-22,140900.61
500213,108794,B018,CURRENT,ACTIVE,2020-01-09,229577.79
500214,109896,B002,SAVINGS,ACTIVE,2019-11-22,9973.6
500215,105872,B012,SAVINGS,ACTIVE,2022-09-09,3638.08
500216,109278,B001,SAVINGS,ACTIVE,2020-05-27,42159.6
500217,100949,B019,CURRENT,ACTIVE,2024-09-06,7066.01
500218,106937,B013,SAVINGS,ACTIVE,2024-10-18,6704.94
500219,105293,B017,SALARY,ACTIVE,2023-08-04,10821.49
500220,103970,B010,SALARY,ACTIVE,2021-01-31,14236.37
500221,108513,B001,SAVINGS,ACTIVE,2021-01-14,4422.53
500222,107272,B016,CURRENT,BLOCKED,2024-10-20,62954.57
500223,100697,B020,SAVINGS,ACTIVE,2022-06-27,20617.89
500224,109365,B018,CURRENT,ACTIVE,2021-12-14,44342.25
500225,104965,B004,SAVINGS,ACTIVE,2020-01-19,12765.88
500226,105423,B013,SAVINGS,ACTIVE,2025-11-08,30965.31
500227,101779,B003,SAVINGS,ACTIVE,2019-09-02,23529.11
500228,103432,B012,SAVINGS,ACTIVE,2022-10-19,46953.68
500229,107129,B008,SAVINGS,ACTIVE,2020-06-15,7714.84
500230,100133,B004,SAVINGS,ACTIVE,2020-08-10,70923.65
500231,103918,B012,CURRENT,ACTIVE,2025-10-06,25238.25
500232,105062,B012,SAVINGS,ACTIVE,2019-07-05,11977.96
500233,109147,B011,SAVINGS,ACTIVE,2023-11-23,33053.87
500234,100931,B011,CURRENT,ACTIVE,2023-10-07,92205.58
500235,108836,B007,SAVINGS,ACTIVE,2020-08-26,61032.52
500236,103186,B013,SAVINGS,ACTIVE,2022-03-01,71957.38
500237,102611,B001,SAVINGS,ACTIVE,2022-01-02,28630.02
500238,106227,B010,SAVINGS,ACTIVE,2024-02-09,10299.74
500239,104336,B011,SALARY,ACTIVE,2019-09-06,22026.64
500240,102778,B012,CURRENT,ACTIVE,2023-05-29,28150.49
500241,102153,B019,SAVINGS,BLOCKED,2020-08-26,85410.73
500242,102239,B016,CURRENT,ACTIVE,2022-02-20,11023.81
500243,102284,B016,SAVINGS,ACTIVE,2023-08-27,90228.19
500244,105888,B018,SAVINGS,ACTIVE,2021-11-28,79540.58
500245,104587,B019,SAVINGS,ACTIVE,2021-04-16,114379.48
500246,100733,B011,SAVINGS,ACTIVE,2019-07-30,63523.94
500247,102372,B010,SALARY,ACTIVE,2023-05-09,26055.35
500248,109285,B018,SAVINGS,ACTIVE,2019-07-15,14442.3
500249,108159,B017,SAVINGS,ACTIVE,2020-02-21,125470.2
500250,109834,B012,SAVINGS,ACTIVE,2021-05-14,48120.5
500251,106929,B016,SAVINGS,ACTIVE,2023-11-11,5076.01
500252,109892,B008,SALARY,CLOSED,2026-04-24,104165.36
500253,106863,B005,SALARY,ACTIVE,2019-01-16,27985.95
500254,100067,B008,CURRENT,ACTIVE,2023-05-14,39489.31
500255,105552,B014,SAVINGS,ACTIVE,2021-05-02,214269.3
500256,100024,B016,SAVINGS,ACTIVE,2024-11-18,22268.51
500257,101376,B010,SAVINGS,ACTIVE,2022-06-27,3197.19
500258,101032,B010,SAVINGS,ACTIVE,2022-12-29,34555.63
500259,100496,B017,SAVINGS,ACTIVE,2019-05-21,15146.64
500260,109173,B016,SAVINGS,ACTIVE,2021-02-10,19907.99
500261,101623,B010,SAVINGS,ACTIVE,2024-11-23,12138.04
500262,108694,B012,SALARY,ACTIVE,2022-12-11,4470.78
500263,103128,B013,SAVINGS,ACTIVE,2021-12-21,55928.23
500264,100178,B001,SAVINGS,ACTIVE,2019-05-31,142033.54
500265,103358,B010,SAVINGS,ACTIVE,2021-10-27,46012.54
500266,100717,B010,SAVINGS,ACTIVE,2019-03-26,10965.93
500267,103129,B020,SAVINGS,ACTIVE,2021-11-22,25429.82
500268,103035,B010,SALARY,ACTIVE,2023-06-05,463946.6
500269,100505,B001,SAVINGS,ACTIVE,2022-01-21,57316.81
500270,102794,B015,SAVINGS,ACTIVE,2020-12-04,28993.7
500271,101147,B017,CURRENT,ACTIVE,2024-07-20,7143.94
500272,100016,B016,SAVINGS,ACTIVE,2025-09-26,30668.62
500273,106234,B015,SAVINGS,ACTIVE,2025-10-13,17182.17
500274,100815,B003,SAVINGS,ACTIVE,2020-01-14,61968.57
500275,106925,B011,SALARY,ACTIVE,2023-02-20,24883.87
500276,106782,B013,SAVINGS,ACTIVE,2022-06-18,111207.68
500277,108445,B018,SALARY,ACTIVE,2023-06-04,125883.65
500278,105912,B014,SAVINGS,ACTIVE,2025-06-28,4055.81
500279,104260,B012,SAVINGS,ACTIVE,2019-02-23,44139.87
500280,103539,B017,SAVINGS,ACTIVE,2021-05-18,140763.32
500281,102363,B007,SAVINGS,ACTIVE,2020-01-08,86986.47
500282,102450,B010,SALARY,ACTIVE,2020-03-08,2244.09
500283,101989,B018,SAVINGS,CLOSED,2023-05-28,214398.62
500284,104746,B001,SAVINGS,ACTIVE,2025-05-28,5459.18
500285,106408,B016,SAVINGS,ACTIVE,2020-01-05,3754.92
500286,106386,B002,SAVINGS,ACTIVE,2019-04-17,4145.94
500287,107263,B005,SAVINGS,ACTIVE,2023-06-24,49889.28
500288,103047,B009,SALARY,ACTIVE,2025-12-15,9373.41
500289,109471,B006,SAVINGS,ACTIVE,2019-07-30,11412.38
500290,101330,B015,SAVINGS,ACTIVE,2021-06-10,14343.03
500291,107076,B009,SAVINGS,ACTIVE,2022-04-14,99454.74
500292,109173,B019,SAVINGS,ACTIVE,2019-07-12,58518.75
500293,108365,B014,SAVINGS,ACTIVE,2019-10-25,6289.82
500294,101158,B008,SAVINGS,ACTIVE,2022-06-12,11502.79
500295,106810,B002,SAVINGS,ACTIVE,2022-02-16,4709.63
500296,108386,B013,CURRENT,ACTIVE,2021-04-25,12172.11
500297,103482,B001,CURRENT,ACTIVE,2022-06-10,42641.65
500298,105628,B015,SALARY,ACTIVE,2020-01-22,19265.54
500299,104867,B002,SAVINGS,ACTIVE,2022-02-07,7528.53
500300,104695,B002,SAVINGS,ACTIVE,2020-04-27,70990.44
500301,106611,B014,SAVINGS,ACTIVE,2025-04-23,28022.73
500302,102557,B011,SAVINGS,ACTIVE,2023-02-18,9395.46
500303,103126,B019,SAVINGS,ACTIVE,2022-02-18,141371.81
500304,107000,B002,SALARY,ACTIVE,2024-01-12,38595.41
500305,101018,B007,SAVINGS,ACTIVE,2020-05-08,25131.72
500306,104909,B010,CURRENT,ACTIVE,2026-04-10,42700.55
500307,107485,B019,SAVINGS,ACTIVE,2022-06-11,5381.66
500308,101030,B018,CURRENT,ACTIVE,2025-04-03,5170.32
500309,102557,B020,SAVINGS,ACTIVE,2024-03-11,11623.86
500310,108212,B016,SAVINGS,ACTIVE,2024-07-29,69451.41
500311,105092,B009,CURRENT,ACTIVE,2022-10-31,13315.05
500312,106851,B014,SAVINGS,ACTIVE,2020-01-27,17438.63
500313,108473,B014,SALARY,ACTIVE,2024-01-22,239549.25
500314,107700,B019,SAVINGS,ACTIVE,2019-05-30,4484.39
500315,103541,B001,SAVINGS,ACTIVE,2022-10-22,71213.98
500316,102281,B007,SAVINGS,ACTIVE,2023-01-27,7383.5
500317,106584,B007,SAVINGS,ACTIVE,2023-09-02,75554.03
500318,103216,B010,SAVINGS,ACTIVE,2023-01-01,11660.81
500319,102780,B015,CURRENT,BLOCKED,2020-01-27,22828.02
500320,103285,B006,SAVINGS,ACTIVE,2024-11-03,9897.15
500321,104860,B007,SALARY,ACTIVE,2021-11-10,5775.41
500322,101609,B007,SAVINGS,ACTIVE,2024-09-13,7873.6
500323,102321,B011,SAVINGS,ACTIVE,2020-03-08,22319.02
500324,108822,B014,SAVINGS,ACTIVE,2024-02-25,14790.2
500325,108940,B007,SALARY,ACTIVE,2024-09-15,7172.95
500326,103660,B014,SALARY,ACTIVE,2020-04-03,41462.73
500327,100658,B014,SALARY,ACTIVE,2019-08-20,3193.7
500328,103076,B003,SALARY,ACTIVE,2020-03-29,31263.19
500329,104206,B001,SAVINGS,ACTIVE,2019-06-09,14888.41
500330,104752,B018,SALARY,ACTIVE,2023-01-23,47796.65
500331,103795,B016,CURRENT,ACTIVE,2023-08-10,124299.58
500332,109563,B006,SAVINGS,ACTIVE,2019-12-19,13686.31
500333,107967,B009,SAVINGS,ACTIVE,2025-03-14,17984.79
500334,103657,B005,SAVINGS,ACTIVE,2024-09-08,48622.49
500335,109857,B001,SAVINGS,ACTIVE,2019-11-01,28047.42
500336,109300,B008,SAVINGS,ACTIVE,2026-04-10,61167.7
500337,103345,B005,CURRENT,ACTIVE,2021-01-12,10936.8
500338,109326,B008,SAVINGS,ACTIVE,2019-07-27,48259.37
500339,109296,B020,SAVINGS,ACTIVE,2024-04-10,31239.21
500340,103206,B014,SALARY,ACTIVE,2019-08-05,38178.72
500341,103033,B011,SALARY,ACTIVE,2019-12-26,16033.11
500342,105937,B014,SAVINGS,ACTIVE,2025-11-11,18185.17
500343,108179,B010,SAVINGS,ACTIVE,2022-01-13,8940.68
500344,106424,B014,SAVINGS,ACTIVE,2025-06-02,48097.29
500345,106092,B011,SAVINGS,ACTIVE,2021-08-05,27735.85
500346,102859,B011,SAVINGS,ACTIVE,2019-11-17,27773.57
500347,107095,B019,SAVINGS,ACTIVE,2019-03-10,9541.1
500348,109926,B005,SAVINGS,ACTIVE,2019-11-14,45935.55
500349,108171,B015,SAVINGS,ACTIVE,2019-09-17,7279.58
500350,105968,B005,SAVINGS,ACTIVE,2020-01-27,52592.05
500351,100818,B003,SAVINGS,ACTIVE,2022-11-14,4530.09
500352,107148,B019,SAVINGS,ACTIVE,2020-01-29,213930.52
500353,105597,B015,SAVINGS,ACTIVE,2023-06-07,576513.81
500354,106908,B004,SAVINGS,ACTIVE,2021-06-19,70995.03
500355,106769,B018,SAVINGS,ACTIVE,2023-10-30,25128.24
500356,102235,B010,SAVINGS,ACTIVE,2025-09-07,11141.99
500357,105601,B008,SAVINGS,ACTIVE,2022-11-23,9859.26
500358,105937,B017,SAVINGS,ACTIVE,2021-04-20,20329.81
500359,105152,B013,SAVINGS,ACTIVE,2021-10-31,55524.0
500360,108641,B011,CURRENT,ACTIVE,2020-06-06,25702.96
500361,106200,B010,SALARY,ACTIVE,2024-01-13,836126.11
500362,107624,B020,SAVINGS,ACTIVE,2020-10-23,17002.97
500363,106709,B008,SAVINGS,ACTIVE,2023-03-29,18211.18
500364,104578,B020,SAVINGS,ACTIVE,2024-02-16,22888.91
500365,106665,B010,SALARY,ACTIVE,2025-10-17,36315.48
500366,105430,B017,SALARY,ACTIVE,2023-02-02,12143.07
500367,105926,B002,SALARY,ACTIVE,2022-07-06,68738.74
500368,106414,B009,SALARY,ACTIVE,2024-05-20,4284.53
500369,105742,B010,SALARY,ACTIVE,2020-02-03,122594.7
500370,103715,B018,SAVINGS,ACTIVE,2021-12-19,32933.85
500371,106860,B003,SAVINGS,BLOCKED,2019-07-29,16308.69
500372,103330,B014,SAVINGS,ACTIVE,2020-08-15,108923.07
500373,105615,B019,SAVINGS,ACTIVE,2023-02-07,43442.66
500374,104498,B018,SAVINGS,ACTIVE,2023-07-03,10637.99
500375,105462,B010,SALARY,ACTIVE,2020-06-22,13852.34
500376,109987,B006,SALARY,CLOSED,2023-09-04,14236.6
500377,106102,B017,SAVINGS,ACTIVE,2026-04-26,47146.74
500378,106999,B002,SAVINGS,ACTIVE,2025-08-21,49323.87
500379,103688,B018,SAVINGS,ACTIVE,2021-12-28,17574.41
500380,101334,B012,SAVINGS,ACTIVE,2020-05-06,31401.52
500381,109568,B005,SAVINGS,CLOSED,2019-08-12,909582.6
500382,101247,B010,CURRENT,ACTIVE,2022-09-26,8401.71
500383,106401,B005,SAVINGS,ACTIVE,2024-06-04,20372.49
500384,101366,B012,SAVINGS,ACTIVE,2022-01-04,51197.21
500385,107215,B006,SALARY,ACTIVE,2020-09-21,117340.08
500386,108816,B018,SAVINGS,ACTIVE,2024-04-17,24446.96
500387,100280,B018,SAVINGS,ACTIVE,2021-11-10,3702.64
500388,101452,B017,CURRENT,ACTIVE,2023-11-22,139420.53
500389,104743,B010,CURRENT,ACTIVE,2023-02-06,99550.38
500390,104511,B002,SAVINGS,ACTIVE,2023-02-01,20878.54
500391,101281,B002,SAVINGS,ACTIVE,2022-07-29,44343.09
500392,106435,B004,SAVINGS,ACTIVE,2023-01-10,179216.96
500393,102654,B005,SALARY,ACTIVE,2020-09-23,30160.99
500394,108108,B014,CURRENT,ACTIVE,2024-01-12,41369.57
500395,102945,B004,SAVINGS,ACTIVE,2022-08-03,36627.31
500396,103228,B011,SAVINGS,ACTIVE,2023-03-31,11213.5
500397,106777,B017,SAVINGS,ACTIVE,2024-10-20,18160.81
500398,102314,B004,SAVINGS,ACTIVE,2019-10-14,93806.18
500399,102740,B008,SAVINGS,ACTIVE,2025-07-09,14040.92
500400,101034,B001,SAVINGS,ACTIVE,2021-12-12,79598.12
500401,102129,B018,SAVINGS,ACTIVE,2023-01-30,22783.53
500402,100802,B006,SAVINGS,ACTIVE,2022-08-14,18542.09
500403,101211,B009,SAVINGS,ACTIVE,2020-08-10,198662.58
