customer_id,customer_name,customer_segment,city,state,date_of_birth,onboarding_date,customer_status
100038,Customer_00038,RETAIL,Kolkata,West Bengal,1980-06-17,2024-09-11,ACTIVE
100039,Customer_00039,PREMIUM,Delhi,Delhi,2008-08-13,2020-01-31,ACTIVE
100040,Customer_00040,PREMIUM,Hyderabad,Telangana,1993-06-04,2024-01-08,ACTIVE
100041,Customer_00041,RETAIL,Pune,Maharashtra,2017-08-04,2026-02-26,ACTIVE
100042,Customer_00042,RETAIL,Kolkata,West Bengal,2014-04-13,2025-10-13,ACTIVE
100043,Customer_00043,RETAIL,Hyderabad,Telangana,1983-06-14,2022-06-05,ACTIVE
100044,Customer_00044,RETAIL,Delhi,Delhi,2016-03-06,2025-08-13,ACTIVE
100045,Customer_00045,RETAIL,Mumbai,Maharashtra,2018-03-02,2021-07-24,ACTIVE
100046,Customer_00046,BUSINESS,Ahmedabad,Gujarat,2010-03-25,2021-08-01,INACTIVE
100047,Customer_00047,RETAIL,Bangalore,Karnataka,1990-06-22,2022-04-04,ACTIVE
100048,Customer_00048,PREMIUM,Ahmedabad,Gujarat,2006-09-03,2020-02-12,ACTIVE
100049,Customer_00049,RETAIL,Hyderabad,Telangana,2014-10-24,2021-09-29,ACTIVE
100050,Customer_00050,BUSINESS,Kolkata,West Bengal,2012-08-27,2025-08-12,ACTIVE
100051,Customer_00051,RETAIL,Kolkata,West Bengal,1996-11-12,2025-01-03,ACTIVE
100052,Customer_00052,RETAIL,Pune,Maharashtra,2008-03-22,2022-02-28,INACTIVE
100053,Customer_00053,RETAIL,Delhi,Delhi,1995-01-04,2022-01-19,ACTIVE
100054,Customer_00054,RETAIL,Bangalore,Karnataka,1989-08-09,2022-04-13,ACTIVE
100055,Customer_00055,PREMIUM,Bangalore,Karnataka,2006-10-18,2020-10-12,ACTIVE
100056,Customer_00056,RETAIL,Mumbai,Maharashtra,1998-04-24,2021-01-15,INACTIVE
100057,Customer_00057,RETAIL,Chennai,Tamil Nadu,1988-05-25,2026-07-10,ACTIVE
100058,Customer_00058,RETAIL,Pune,Maharashtra,2006-04-19,2024-07-21,ACTIVE
100059,Customer_00059,RETAIL,Hyderabad,Telangana,1992-05-18,2024-06-14,ACTIVE
100060,Customer_00060,RETAIL,Hyderabad,Telangana,2003-04-22,2021-11-03,ACTIVE
100061,Customer_00061,RETAIL,Ahmedabad,Gujarat,1994-01-03,2025-08-16,ACTIVE
100062,Customer_00062,RETAIL,Hyderabad,Telangana,2015-07-07,2021-02-28,INACTIVE
100063,Customer_00063,RETAIL,Delhi,Delhi,2014-02-05,2026-05-13,ACTIVE
100064,Customer_00064,RETAIL,Ahmedabad,Gujarat,1998-08-16,2023-04-23,ACTIVE
100065,Customer_00065,BUSINESS,Bangalore,Karnataka,2008-05-04,2022-03-04,ACTIVE
100066,Customer_00066,RETAIL,Delhi,Delhi,1986-06-22,2024-12-05,ACTIVE
100067,Customer_00067,RETAIL,Ahmedabad,Gujarat,2020-02-15,2022-09-28,ACTIVE
100068,Customer_00068,RETAIL,Delhi,Delhi,1987-12-23,2021-10-09,ACTIVE
100069,Customer_00069,RETAIL,Mumbai,Maharashtra,2014-10-08,2024-06-28,INACTIVE
100070,Customer_00070,RETAIL,Bangalore,Karnataka,2013-11-28,2024-09-28,ACTIVE
100071,Customer_00071,RETAIL,Kolkata,West Bengal,1986-06-25,2023-12-18,ACTIVE
100072,Customer_00072,RETAIL,Pune,Maharashtra,1979-07-10,2023-01-13,ACTIVE
100073,Customer_00073,RETAIL,Bangalore,Karnataka,2009-06-07,2022-02-28,ACTIVE
100074,Customer_00074,RETAIL,Pune,Maharashtra,2014-11-09,2022-08-27,ACTIVE
100075,Customer_00075,BUSINESS,Hyderabad,Telangana,2008-08-01,2025-09-29,ACTIVE
100076,Customer_00076,RETAIL,Bangalore,Karnataka,1981-06-12,2022-05-12,ACTIVE
100077,Customer_00077,RETAIL,Delhi,Delhi,2005-09-02,2026-05-10,ACTIVE
100078,Customer_00078,RETAIL,Pune,Maharashtra,1995-04-01,2020-12-15,ACTIVE
100079,Customer_00079,RETAIL,Chennai,Tamil Nadu,2016-10-07,2021-01-25,ACTIVE
100080,Customer_00080,PREMIUM,Hyderabad,Telangana,2012-01-10,2022-03-09,ACTIVE
100081,Customer_00081,RETAIL,Ahmedabad,Gujarat,2011-12-22,2020-01-08,ACTIVE
100082,Customer_00082,RETAIL,Bangalore,Karnataka,1995-11-27,2025-10-11,ACTIVE
100083,Customer_00083,RETAIL,Pune,Maharashtra,1992-05-22,2022-03-27,ACTIVE
100084,Customer_00084,RETAIL,Kolkata,West Bengal,2012-12-08,2020-09-02,ACTIVE
100085,Customer_00085,BUSINESS,Hyderabad,Telangana,1983-11-23,2024-01-24,ACTIVE
100086,Customer_00086,RETAIL,Hyderabad,Telangana,1983-04-14,2026-04-18,ACTIVE
100087,Customer_00087,PREMIUM,Mumbai,Maharashtra,1981-09-19,2026-07-12,ACTIVE
100088,Customer_00088,RETAIL,Delhi,Delhi,2000-03-04,2020-09-14,INACTIVE
100089,Customer_00089,BUSINESS,Kolkata,West Bengal,1982-04-06,2025-03-17,ACTIVE
100090,Customer_00090,RETAIL,Kolkata,West Bengal,2003-02-01,2022-05-18,ACTIVE
100091,Customer_00091,RETAIL,Bangalore,Karnataka,1986-01-14,2025-06-29,ACTIVE
100092,Customer_00092,PREMIUM,Kolkata,West Bengal,2015-10-02,2023-12-26,ACTIVE
100093,Customer_00093,RETAIL,Kolkata,West Bengal,1996-12-02,2024-10-22,ACTIVE
100094,Customer_00094,RETAIL,Bangalore,Karnataka,1983-01-04,2025-07-03,ACTIVE
100095,Customer_00095,BUSINESS,Ahmedabad,Gujarat,2007-08-26,2025-11-18,ACTIVE
100096,Customer_00096,RETAIL,Delhi,Delhi,1993-01-26,2020-12-10,ACTIVE
100097,Customer_00097,PREMIUM,Pune,Maharashtra,1989-12-01,2024-10-03,ACTIVE
100098,Customer_00098,RETAIL,Hyderabad,Telangana,2006-03-30,2020-12-04,ACTIVE
100099,Customer_00099,PREMIUM,Hyderabad,Telangana,2018-05-30,2026-03-15,ACTIVE
100100,Customer_00100,PREMIUM,Pune,Maharashtra,2019-05-29,2024-02-17,ACTIVE
100101,Customer_00101,RETAIL,Kolkata,West Bengal,1997-01-18,2021-04-07,ACTIVE
100102,Customer_00102,RETAIL,Pune,Maharashtra,2014-01-01,2021-12-03,ACTIVE
100103,Customer_00103,RETAIL,Kolkata,West Bengal,1987-10-06,2025-11-19,ACTIVE
100104,Customer_00104,RETAIL,Mumbai,Maharashtra,2013-12-05,2024-03-26,ACTIVE
100105,Customer_00105,PREMIUM,Kolkata,West Bengal,2017-11-07,2021-07-04,ACTIVE
100106,Customer_00106,RETAIL,Kolkata,West Bengal,2000-05-27,2025-05-23,ACTIVE
100107,Customer_00107,RETAIL,Kolkata,West Bengal,2000-08-23,2024-09-19,ACTIVE
100108,Customer_00108,RETAIL,Hyderabad,Telangana,2002-05-04,2020-07-03,INACTIVE
100109,Customer_00109,RETAIL,Bangalore,Karnataka,1982-03-01,2021-11-10,ACTIVE
100110,Customer_00110,PREMIUM,Hyderabad,Telangana,2014-06-04,2025-07-19,ACTIVE
100111,Customer_00111,RETAIL,Delhi,Delhi,2009-06-16,2022-04-21,ACTIVE
100112,Customer_00112,RETAIL,Kolkata,West Bengal,2014-11-17,2020-03-31,ACTIVE
100113,Customer_00113,PREMIUM,Chennai,Tamil Nadu,1983-11-25,2023-12-20,ACTIVE
100114,Customer_00114,BUSINESS,Bangalore,Karnataka,2012-02-11,2025-11-27,ACTIVE
100115,Customer_00115,RETAIL,Chennai,Tamil Nadu,1994-01-23,2023-08-28,ACTIVE
100116,Customer_00116,BUSINESS,Chennai,Tamil Nadu,2012-10-12,2026-05-30,ACTIVE
100117,Customer_00117,RETAIL,Mumbai,Maharashtra,2019-12-25,2020-09-30,ACTIVE
100118,Customer_00118,PREMIUM,Pune,Maharashtra,2015-04-16,2024-05-20,ACTIVE
100119,Customer_00119,RETAIL,Pune,Maharashtra,2016-10-06,2024-04-08,ACTIVE
100120,Customer_00120,RETAIL,Mumbai,Maharashtra,1983-11-02,2026-06-20,ACTIVE
100121,Customer_00121,RETAIL,Bangalore,Karnataka,1992-08-30,2023-06-04,ACTIVE
100122,Customer_00122,RETAIL,Hyderabad,Telangana,1991-03-08,2025-05-26,ACTIVE
100123,Customer_00123,RETAIL,Hyderabad,Telangana,2000-04-05,2020-12-14,ACTIVE
100124,Customer_00124,RETAIL,Bangalore,Karnataka,2019-04-02,2020-04-16,ACTIVE
100125,Customer_00125,RETAIL,Kolkata,West Bengal,2007-05-01,2024-09-15,ACTIVE
100126,Customer_00126,RETAIL,Chennai,Tamil Nadu,2001-07-15,2020-01-10,ACTIVE
100127,Customer_00127,RETAIL,Mumbai,Maharashtra,2012-03-22,2025-09-30,ACTIVE
100128,Customer_00128,RETAIL,Kolkata,West Bengal,1986-05-30,2020-02-19,ACTIVE
100129,Customer_00129,BUSINESS,Chennai,Tamil Nadu,2006-04-17,2024-07-10,ACTIVE
100130,Customer_00130,BUSINESS,Hyderabad,Telangana,1999-10-28,2022-12-20,ACTIVE
100131,Customer_00131,RETAIL,Chennai,Tamil Nadu,1987-07-06,2024-03-29,ACTIVE
100132,Customer_00132,RETAIL,Chennai,Tamil Nadu,2005-09-07,2024-02-05,ACTIVE
100133,Customer_00133,RETAIL,Mumbai,Maharashtra,2013-09-06,2022-12-02,ACTIVE
100134,Customer_00134,RETAIL,Chennai,Tamil Nadu,2013-03-06,2023-03-01,ACTIVE
100135,Customer_00135,PREMIUM,Kolkata,West Bengal,2013-10-16,2023-04-23,ACTIVE
100136,Customer_00136,RETAIL,Delhi,Delhi,2012-07-08,2024-06-13,ACTIVE
100137,Customer_00137,RETAIL,Chennai,Tamil Nadu,1998-06-03,2024-08-31,ACTIVE
100138,Customer_00138,RETAIL,Mumbai,Maharashtra,1981-03-09,2022-12-15,ACTIVE
100139,Customer_00139,RETAIL,Delhi,Delhi,2018-10-22,2022-04-26,ACTIVE
100140,Customer_00140,PREMIUM,Bangalore,Karnataka,1997-10-15,2020-04-12,ACTIVE
100141,Customer_00141,RETAIL,Ahmedabad,Gujarat,2005-02-24,2025-02-13,ACTIVE
100142,Customer_00142,RETAIL,Pune,Maharashtra,1980-01-04,2021-06-26,ACTIVE
100143,Customer_00143,RETAIL,Delhi,Delhi,2015-08-30,2022-11-08,ACTIVE
100144,Customer_00144,BUSINESS,Bangalore,Karnataka,2015-08-22,2026-07-10,ACTIVE
100145,Customer_00145,RETAIL,Ahmedabad,Gujarat,2017-04-14,2025-02-26,ACTIVE
100146,Customer_00146,PREMIUM,Kolkata,West Bengal,1986-04-22,2022-04-10,ACTIVE
100147,Customer_00147,PREMIUM,Mumbai,Maharashtra,2013-10-13,2023-02-13,ACTIVE
100148,Customer_00148,RETAIL,Pune,Maharashtra,2004-10-29,2022-02-18,ACTIVE
100149,Customer_00149,PREMIUM,Kolkata,West Bengal,1985-03-01,2024-02-11,INACTIVE
100150,Customer_00150,RETAIL,Mumbai,Maharashtra,2002-08-07,2021-01-01,ACTIVE
100151,Customer_00151,PREMIUM,Kolkata,West Bengal,1998-09-25,2026-04-05,ACTIVE
100152,Customer_00152,RETAIL,Delhi,Delhi,2004-11-07,2026-06-27,ACTIVE
100153,Customer_00153,RETAIL,Ahmedabad,Gujarat,1982-08-07,2021-12-17,ACTIVE
100154,Customer_00154,RETAIL,Delhi,Delhi,2002-04-21,2021-07-07,ACTIVE
100155,Customer_00155,RETAIL,Bangalore,Karnataka,2006-12-27,2023-07-18,ACTIVE
100156,Customer_00156,RETAIL,Hyderabad,Telangana,2008-07-20,2024-04-01,ACTIVE
100157,Customer_00157,RETAIL,Pune,Maharashtra,2010-10-02,2024-03-24,ACTIVE
100158,Customer_00158,RETAIL,Chennai,Tamil Nadu,2004-11-16,2020-04-10,ACTIVE
100159,Customer_00159,RETAIL,Chennai,Tamil Nadu,2007-12-20,2024-09-02,ACTIVE
100160,Customer_00160,RETAIL,Kolkata,West Bengal,1982-11-15,2020-06-08,ACTIVE
100161,Customer_00161,BUSINESS,Ahmedabad,Gujarat,2011-12-07,2022-03-31,ACTIVE
100162,Customer_00162,BUSINESS,Hyderabad,Telangana,1994-03-24,2024-09-16,ACTIVE
100163,Customer_00163,RETAIL,Bangalore,Karnataka,2001-08-27,2025-10-29,ACTIVE
100164,Customer_00164,RETAIL,Bangalore,Karnataka,2001-08-11,2024-03-04,ACTIVE
100165,Customer_00165,RETAIL,Bangalore,Karnataka,2019-04-01,2021-01-18,ACTIVE
100166,Customer_00166,PREMIUM,Kolkata,West Bengal,1992-07-08,2024-06-20,ACTIVE
100167,Customer_00167,RETAIL,Delhi,Delhi,1994-12-12,2020-03-29,ACTIVE
100168,Customer_00168,PREMIUM,Pune,Maharashtra,2010-05-22,2021-07-08,ACTIVE
100169,Customer_00169,RETAIL,Delhi,Delhi,2005-03-19,2020-10-23,ACTIVE
100170,Customer_00170,RETAIL,Mumbai,Maharashtra,1992-03-21,2026-06-21,ACTIVE
100171,Customer_00171,PREMIUM,Mumbai,Maharashtra,1993-04-21,2022-06-03,ACTIVE
100172,Customer_00172,RETAIL,Mumbai,Maharashtra,2013-03-13,2023-09-02,ACTIVE
100173,Customer_00173,PREMIUM,Kolkata,West Bengal,2013-06-28,2025-03-12,ACTIVE
100174,Customer_00174,RETAIL,Hyderabad,Telangana,1985-03-11,2026-05-15,INACTIVE
100175,Customer_00175,RETAIL,Hyderabad,Telangana,1995-08-03,2026-07-17,ACTIVE
100176,Customer_00176,RETAIL,Bangalore,Karnataka,2010-10-05,2021-01-29,ACTIVE
100177,Customer_00177,RETAIL,Hyderabad,Telangana,1984-01-14,2022-08-03,ACTIVE
100178,Customer_00178,RETAIL,Pune,Maharashtra,1986-09-12,2022-08-30,ACTIVE
100179,Customer_00179,RETAIL,Ahmedabad,Gujarat,1985-09-03,2025-03-25,ACTIVE
100180,Customer_00180,RETAIL,Chennai,Tamil Nadu,2000-11-06,2022-03-16,ACTIVE
100181,Customer_00181,PREMIUM,Ahmedabad,Gujarat,1997-09-07,2021-07-09,ACTIVE
100182,Customer_00182,RETAIL,Pune,Maharashtra,1992-04-29,2024-12-17,ACTIVE
100183,Customer_00183,RETAIL,Bangalore,Karnataka,1984-09-30,2023-04-03,ACTIVE
100184,Customer_00184,PREMIUM,Hyderabad,Telangana,2005-05-04,2024-11-29,ACTIVE
100185,Customer_00185,RETAIL,Bangalore,Karnataka,2012-04-26,2022-06-30,ACTIVE
100186,Customer_00186,PREMIUM,Bangalore,Karnataka,1987-11-26,2023-03-13,ACTIVE
100187,Customer_00187,RETAIL,Pune,Maharashtra,2006-07-14,2020-01-22,ACTIVE
100188,Customer_00188,RETAIL,Bangalore,Karnataka,2011-10-31,2020-02-08,ACTIVE
100189,Customer_00189,PREMIUM,Pune,Maharashtra,2002-01-16,2020-01-01,ACTIVE
100190,Customer_00190,RETAIL,Delhi,Delhi,2002-09-20,2021-02-24,ACTIVE
100191,Customer_00191,RETAIL,Hyderabad,Telangana,1986-01-06,2022-04-14,ACTIVE
100192,Customer_00192,PREMIUM,Hyderabad,Telangana,2018-06-24,2020-04-30,ACTIVE
100193,Customer_00193,RETAIL,Chennai,Tamil Nadu,2018-06-12,2021-01-20,ACTIVE
100194,Customer_00194,PREMIUM,Delhi,Delhi,2008-05-24,2025-07-25,ACTIVE
100195,Customer_00195,PREMIUM,Ahmedabad,Gujarat,2016-03-28,2025-08-12,ACTIVE
100196,Customer_00196,BUSINESS,Mumbai,Maharashtra,2004-02-09,2021-11-26,ACTIVE
100197,Customer_00197,RETAIL,Delhi,Delhi,2006-04-27,2026-03-21,ACTIVE
100198,Customer_00198,RETAIL,Mumbai,Maharashtra,2013-03-20,2020-10-10,ACTIVE
100199,Customer_00199,PREMIUM,Delhi,Delhi,1980-09-24,2020-03-16,ACTIVE
100200,Customer_00200,RETAIL,Ahmedabad,Gujarat,1988-03-09,2022-04-30,ACTIVE
100201,Customer_00201,RETAIL,Delhi,Delhi,1987-07-09,2021-09-27,ACTIVE
100202,Customer_00202,RETAIL,Ahmedabad,Gujarat,2005-02-24,2020-07-04,ACTIVE
100203,Customer_00203,RETAIL,Bangalore,Karnataka,1989-02-12,2025-07-26,ACTIVE
100204,Customer_00204,RETAIL,Hyderabad,Telangana,1995-03-14,2026-06-07,ACTIVE
100205,Customer_00205,RETAIL,Bangalore,Karnataka,1999-06-11,2021-10-10,ACTIVE
100206,Customer_00206,RETAIL,Delhi,Delhi,2009-09-16,2022-01-26,ACTIVE
100207,Customer_00207,RETAIL,Kolkata,West Bengal,2000-05-31,2024-09-20,ACTIVE
100208,Customer_00208,BUSINESS,Ahmedabad,Gujarat,1980-03-03,2026-02-17,ACTIVE
100209,Customer_00209,RETAIL,Delhi,Delhi,2007-05-14,2021-11-19,ACTIVE
100210,Customer_00210,RETAIL,Kolkata,West Bengal,1996-09-23,2024-06-26,ACTIVE
100211,Customer_00211,RETAIL,Delhi,Delhi,1983-10-27,2020-02-25,ACTIVE
100212,Customer_00212,RETAIL,Hyderabad,Telangana,2005-12-05,2023-09-20,INACTIVE
100213,Customer_00213,BUSINESS,Kolkata,West Bengal,1990-04-06,2026-06-27,ACTIVE
100214,Customer_00214,BUSINESS,Bangalore,Karnataka,1998-01-30,2023-02-15,ACTIVE
100215,Customer_00215,RETAIL,Hyderabad,Telangana,2018-11-24,2024-03-19,ACTIVE
100216,Customer_00216,RETAIL,Delhi,Delhi,1988-12-08,2024-07-07,ACTIVE
100217,Customer_00217,RETAIL,Mumbai,Maharashtra,2015-07-09,2024-02-26,ACTIVE
100218,Customer_00218,RETAIL,Mumbai,Maharashtra,1998-03-27,2024-07-05,ACTIVE
100219,Customer_00219,RETAIL,Bangalore,Karnataka,2017-06-18,2025-10-29,ACTIVE
100220,Customer_00220,RETAIL,Ahmedabad,Gujarat,2014-01-23,2020-01-26,ACTIVE
100221,Customer_00221,RETAIL,Pune,Maharashtra,2013-05-05,2025-10-24,ACTIVE
100222,Customer_00222,RETAIL,Bangalore,Karnataka,1987-08-29,2025-12-18,ACTIVE
100223,Customer_00223,RETAIL,Hyderabad,Telangana,2011-08-24,2025-12-09,ACTIVE
100224,Customer_00224,RETAIL,Pune,Maharashtra,1994-03-30,2022-06-02,ACTIVE
100225,Customer_00225,RETAIL,Hyderabad,Telangana,2016-07-17,2023-10-31,ACTIVE
100226,Customer_00226,RETAIL,Delhi,Delhi,2019-11-02,2022-04-27,INACTIVE
100227,Customer_00227,RETAIL,Kolkata,West Bengal,2004-04-15,2025-07-09,ACTIVE
100228,Customer_00228,RETAIL,Chennai,Tamil Nadu,2016-08-26,2022-09-02,ACTIVE
100229,Customer_00229,RETAIL,Chennai,Tamil Nadu,2001-01-24,2022-01-21,ACTIVE
100230,Customer_00230,RETAIL,Pune,Maharashtra,1980-07-23,2024-07-02,ACTIVE
100231,Customer_00231,PREMIUM,Bangalore,Karnataka,2015-01-21,2020-04-28,ACTIVE
100232,Customer_00232,BUSINESS,Kolkata,West Bengal,2000-12-10,2022-06-21,ACTIVE
100233,Customer_00233,RETAIL,Mumbai,Maharashtra,1980-12-21,2021-05-10,ACTIVE
100234,Customer_00234,RETAIL,Kolkata,West Bengal,1981-11-07,2022-06-16,ACTIVE
100235,Customer_00235,PREMIUM,Bangalore,Karnataka,2008-11-12,2022-12-12,ACTIVE
100236,Customer_00236,RETAIL,Hyderabad,Telangana,2017-02-08,2020-06-01,ACTIVE
100237,Customer_00237,RETAIL,Hyderabad,Telangana,2007-10-21,2025-09-06,ACTIVE
100238,Customer_00238,RETAIL,Bangalore,Karnataka,1997-04-19,2022-09-26,ACTIVE
100239,Customer_00239,RETAIL,Delhi,Delhi,1991-10-09,2022-05-11,ACTIVE
100240,Customer_00240,RETAIL,Hyderabad,Telangana,1996-05-07,2020-12-24,INACTIVE
100241,Customer_00241,RETAIL,Pune,Maharashtra,1992-06-03,2026-07-17,ACTIVE
100242,Customer_00242,RETAIL,Chennai,Tamil Nadu,1990-05-17,2025-08-15,ACTIVE
100243,Customer_00243,RETAIL,Mumbai,Maharashtra,1984-06-08,2023-03-02,ACTIVE
100244,Customer_00244,RETAIL,Hyderabad,Telangana,2002-07-11,2022-03-13,ACTIVE
100245,Customer_00245,RETAIL,Hyderabad,Telangana,1988-02-18,2023-01-26,ACTIVE
100246,Customer_00246,PREMIUM,Mumbai,Maharashtra,1985-02-12,2026-04-25,ACTIVE
100247,Customer_00247,RETAIL,Kolkata,West Bengal,1990-06-29,2021-06-15,ACTIVE
100248,Customer_00248,RETAIL,Bangalore,Karnataka,2011-12-23,2024-06-30,ACTIVE
100249,Customer_00249,RETAIL,Kolkata,West Bengal,2002-09-11,2025-12-08,ACTIVE
100250,Customer_00250,PREMIUM,Mumbai,Maharashtra,1999-05-04,2024-12-19,INACTIVE
100251,Customer_00251,RETAIL,Pune,Maharashtra,2003-06-22,2025-09-19,INACTIVE
100252,Customer_00252,RETAIL,Bangalore,Karnataka,2002-06-05,2026-03-24,ACTIVE
100253,Customer_00253,RETAIL,Pune,Maharashtra,1999-08-09,2020-05-23,ACTIVE
100254,Customer_00254,PREMIUM,Delhi,Delhi,2013-09-11,2021-07-27,ACTIVE
100255,Customer_00255,PREMIUM,Hyderabad,Telangana,2009-02-27,2020-12-12,ACTIVE
100256,Customer_00256,PREMIUM,Pune,Maharashtra,1986-10-08,2023-09-23,ACTIVE
100257,Customer_00257,RETAIL,Hyderabad,Telangana,2012-09-21,2022-09-04,ACTIVE
100258,Customer_00258,RETAIL,Mumbai,Maharashtra,1986-05-11,2020-04-07,ACTIVE
100259,Customer_00259,RETAIL,Pune,Maharashtra,1982-05-16,2023-08-31,ACTIVE
100260,Customer_00260,RETAIL,Chennai,Tamil Nadu,1996-06-12,2020-08-29,ACTIVE
100261,Customer_00261,PREMIUM,Kolkata,West Bengal,1995-04-19,2022-09-04,ACTIVE
100262,Customer_00262,RETAIL,Pune,Maharashtra,2011-06-13,2022-05-29,ACTIVE
100263,Customer_00263,RETAIL,Delhi,Delhi,2007-09-19,2025-11-14,ACTIVE
100264,Customer_00264,PREMIUM,Ahmedabad,Gujarat,1981-07-27,2024-06-26,ACTIVE
100265,Customer_00265,RETAIL,Ahmedabad,Gujarat,1999-08-25,2024-02-07,ACTIVE
100266,Customer_00266,RETAIL,Chennai,Tamil Nadu,2011-10-27,2025-06-19,ACTIVE
100267,Customer_00267,RETAIL,Bangalore,Karnataka,2009-04-10,2021-03-09,INACTIVE
100268,Customer_00268,PREMIUM,Delhi,Delhi,1999-09-24,2021-09-07,ACTIVE
100269,Customer_00269,BUSINESS,Chennai,Tamil Nadu,2004-06-14,2024-12-10,ACTIVE
100270,Customer_00270,RETAIL,Chennai,Tamil Nadu,2002-03-27,2024-12-02,ACTIVE
100271,Customer_00271,BUSINESS,Delhi,Delhi,1988-08-30,2020-02-21,INACTIVE
100272,Customer_00272,PREMIUM,Mumbai,Maharashtra,2002-05-05,2021-06-22,ACTIVE
100273,Customer_00273,PREMIUM,Pune,Maharashtra,2006-11-21,2021-06-29,ACTIVE
100274,Customer_00274,PREMIUM,Ahmedabad,Gujarat,1981-06-21,2020-01-15,ACTIVE
100275,Customer_00275,RETAIL,Bangalore,Karnataka,2007-09-19,2024-05-06,ACTIVE
100276,Customer_00276,PREMIUM,Bangalore,Karnataka,1989-06-03,2020-05-10,ACTIVE
100277,Customer_00277,RETAIL,Bangalore,Karnataka,1979-06-26,2025-07-12,ACTIVE
100278,Customer_00278,PREMIUM,Kolkata,West Bengal,2010-03-08,2023-11-06,ACTIVE
100279,Customer_00279,RETAIL,Mumbai,Maharashtra,1995-03-06,2025-01-02,ACTIVE
100280,Customer_00280,PREMIUM,Mumbai,Maharashtra,1996-02-05,2023-04-08,ACTIVE
100281,Customer_00281,BUSINESS,Delhi,Delhi,2004-10-20,2026-05-17,ACTIVE
